libfuse3-4:amd64	3.17.2-3	amd64
libgbm1:amd64	25.0.7-2	amd64
libgcc-14-dev:amd64	14.2.0-19	amd64
libgcc-s1:amd64	14.2.0-19	amd64
libgcrypt20:amd64	1.11.0-7	amd64
libgdbm-compat4t64:amd64	1.24-2	amd64
libgdbm-dev:amd64	1.24-2	amd64
libgdbm6t64:amd64	1.24-2	amd64
libgdk-pixbuf-2.0-0:amd64	2.42.12+dfsg-4	amd64
libgdk-pixbuf-2.0-dev:amd64	2.42.12+dfsg-4	amd64
libgdk-pixbuf2.0-bin	2.42.12+dfsg-4	amd64
libgdk-pixbuf2.0-common	2.42.12+dfsg-4	all
libgfortran5:amd64	14.2.0-19	amd64
libgio-2.0-dev:amd64	2.84.4-3~deb13u1	amd64
libgio-2.0-dev-bin	2.84.4-3~deb13u1	amd64
libgirepository-2.0-0:amd64	2.84.4-3~deb13u1	amd64
libgl1:amd64	1.7.0-1+b2	amd64
libgl1-mesa-dri:amd64	25.0.7-2	amd64
libglib2.0-0t64:amd64	2.84.4-3~deb13u1	amd64
libglib2.0-bin	2.84.4-3~deb13u1	amd64
libglib2.0-data	2.84.4-3~deb13u1	all
libglib2.0-dev:amd64	2.84.4-3~deb13u1	amd64
libglib2.0-dev-bin	2.84.4-3~deb13u1	amd64
libglvnd0:amd64	1.7.0-1+b2	amd64
libglx-mesa0:amd64	25.0.7-2	amd64
libglx0:amd64	1.7.0-1+b2	amd64
libgme0:amd64	0.6.3-7+b2	amd64
libgmp-dev:amd64	2:6.3.0+dfsg-3	amd64
libgmp10:amd64	2:6.3.0+dfsg-3	amd64
libgmpxx4ldbl:amd64	2:6.3.0+dfsg-3	amd64
libgnutls-dane0t64:amd64	3.8.9-3	amd64
libgnutls-openssl27t64:amd64	3.8.9-3	amd64
libgnutls28-dev:amd64	3.8.9-3	amd64
libgnutls30t64:amd64	3.8.9-3	amd64
libgomp1:amd64	14.2.0-19	amd64
libgpg-error0:amd64	1.51-4	amd64
libgprofng0:amd64	2.44-3	amd64
libgraphite2-3:amd64	1.3.14-2+b1	amd64
libgraphite2-dev:amd64	1.3.14-2+b1	amd64
libgsm1:amd64	1.0.22-1+b2	amd64
libgssapi-krb5-2:amd64	1.21.3-5	amd64
libgssrpc4t64:amd64	1.21.3-5	amd64
libharfbuzz-cairo0:amd64	10.2.0-1+b1	amd64
libharfbuzz-dev:amd64	10.2.0-1+b1	amd64
libharfbuzz-gobject0:amd64	10.2.0-1+b1	amd64
libharfbuzz-icu0:amd64	10.2.0-1+b1	amd64
